ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
ED,"Consolidated Edison, Inc.",61.7,📈 B급 (매수 고려),65,60,58,70,55,58,99.99,2.7,150
ON,ON Semiconductor Corporation,61.5,📈 B급 (매수 고려),75,55,70,30,75,58,56.7,4.5,151
DHR,Danaher Corporation,61.5,📈 B급 (매수 고려),60,70,70,45,60,58,230.4,12.0,152
AMAT,"Applied Materials, Inc.",61.5,📈 B급 (매수 고려),50,70,70,50,70,65,268.87,-2.9,153
GEHC,GE HealthCare Technologies Inc.,61.5,📈 B급 (매수 고려),60,65,45,75,75,58,82.82,9.0,154
MRNA,"Moderna, Inc.",61.5,📈 B급 (매수 고려),75,50,70,30,60,83,30.86,19.1,155
TTWO,"Take-Two Interactive Software, Inc.",61.4,📈 B급 (매수 고려),55,65,73,55,60,58,251.6,10.3,156
ANET,"Arista Networks, Inc.",61.2,📈 B급 (매수 고려),50,65,68,65,65,58,133.6,22.3,157
CINF,Cincinnati Financial Corporation,61.0,📈 B급 (매수 고려),50,65,55,80,75,50,161.49,7.6,158
PPL,PPL Corporation,60.9,📈 B급 (매수 고려),55,65,53,65,80,58,35.11,13.7,159
ICE,"Intercontinental Exchange, Inc.",60.8,📈 B급 (매수 고려),60,70,45,60,80,58,159.99,18.6,160
TPR,"Tapestry, Inc.",60.3,📈 B급 (매수 고려),55,65,60,55,50,83,129.07,-3.0,161
F,Ford Motor Company,60.0,📈 B급 (매수 고려),60,60,55,75,50,58,13.34,-2.6,162
UNP,Union Pacific Corporation,60.0,📈 B급 (매수 고려),55,65,45,75,80,50,231.91,12.3,163
INTU,Intuit Inc.,59.8,📊 C급 (관망),50,70,60,65,65,50,629.46,27.7,164
REG,Regency Centers Corporation,59.6,📊 C급 (관망),55,65,58,55,80,50,67.96,17.0,165
ORCL,Oracle Corporation,59.6,📊 C급 (관망),60,55,58,70,90,25,195.71,50.1,166
AMZN,"Amazon.com, Inc.",59.6,📊 C급 (관망),50,65,58,70,70,50,226.5,30.5,167
EPAM,"EPAM Systems, Inc.",59.5,📊 C급 (관망),60,65,45,65,55,73,200.46,5.2,168
TAP,Molson Coors Beverage Company,59.5,📊 C급 (관망),75,55,70,30,55,58,47.4,7.5,169
FFIV,"F5, Inc.",59.4,📊 C급 (관망),50,65,58,75,60,50,256.63,12.0,170
PNW,Pinnacle West Capital Corporation,59.4,📊 C급 (관망),50,65,68,65,55,50,88.14,8.5,171
MCO,Moody's Corporation,59.4,📊 C급 (관망),50,65,58,60,75,58,498.98,9.0,172
CRM,"Salesforce, Inc.",59.2,📊 C급 (관망),55,70,45,60,70,65,253.62,30.1,173
ZTS,Zoetis Inc.,59.1,📊 C급 (관망),50,70,53,75,65,43,125.92,25.6,174
DOW,Dow Inc.,58.8,📊 C급 (관망),50,60,90,30,60,58,24.27,13.9,175
CE,Celanese Corporation,58.8,📊 C급 (관망),60,65,70,30,65,58,42.16,21.7,176
TSN,"Tyson Foods, Inc.",58.8,📊 C급 (관망),75,65,45,45,55,58,58.04,10.0,177
KEYS,"Keysight Technologies, Inc.",58.8,📊 C급 (관망),50,70,60,55,55,65,206.59,6.4,178
L,Loews Corporation,58.8,📊 C급 (관망),60,65,55,65,50,50,104.66,0.0,179
CSGP,"CoStar Group, Inc.",58.6,📊 C급 (관망),65,65,58,55,70,25,65.69,40.0,180
MGM,MGM Resorts International,58.1,📊 C급 (관망),60,50,55,50,80,66,36.49,16.0,181
ITW,Illinois Tool Works Inc.,58.0,📊 C급 (관망),50,70,45,75,55,58,249.5,3.8,182
HCA,"HCA Healthcare, Inc.",58.0,📊 C급 (관망),60,65,45,65,55,58,470.39,2.5,183
IBM,International Business Machines Corporation,57.8,📊 C급 (관망),50,65,60,65,55,50,291.5,0.8,184
ALB,Albemarle Corporation,57.8,📊 C급 (관망),65,55,60,40,35,90,143.93,-13.3,185
DOV,Dover Corporation,57.5,📊 C급 (관망),55,65,45,60,55,73,195.75,9.7,186
CSX,CSX Corporation,57.3,📊 C급 (관망),60,65,45,60,55,58,36.27,9.1,187
QCOM,QUALCOMM Incorporated,57.2,📊 C급 (관망),50,65,45,65,80,50,172.98,11.8,188
CSCO,"Cisco Systems, Inc.",57.0,📊 C급 (관망),50,70,45,65,60,58,76.04,12.4,189
AVGO,Broadcom Inc.,56.8,📊 C급 (관망),55,65,50,60,70,40,347.62,31.4,190
DAY,"Dayforce, Inc.",56.8,📊 C급 (관망),55,55,70,45,55,58,69.27,0.9,191
BEN,"Franklin Resources, Inc.",56.7,📊 C급 (관망),50,50,73,55,55,58,23.8,4.3,192
AXP,American Express Company,56.6,📊 C급 (관망),50,65,45,70,50,66,372.73,-2.3,193
STZ,"Constellation Brands, Inc.",56.0,📊 C급 (관망),50,60,45,55,85,58,141.17,20.8,194
TRMB,Trimble Inc.,55.8,📊 C급 (관망),50,70,60,45,65,40,78.33,25.8,195
APD,"Air Products and Chemicals, Inc.",55.6,📊 C급 (관망),50,70,58,30,80,50,250.47,16.9,196
CRL,"Charles River Laboratories International, Inc.",55.5,📊 C급 (관망),55,65,60,30,50,73,202.42,-2.5,197
INTC,Intel Corporation,55.2,📊 C급 (관망),50,65,75,45,50,30,39.38,-3.1,198
KHC,The Kraft Heinz Company,55.0,📊 C급 (관망),50,60,75,30,60,50,24.39,11.2,199
ETSY,"Etsy, Inc.",54.4,📊 C급 (관망),50,55,58,55,60,50,57.28,17.4,200
FAST,Fastenal Company,54.0,📊 C급 (관망),50,65,45,70,55,35,40.44,8.8,201
CZR,"Caesars Entertainment, Inc.",54.0,📊 C급 (관망),60,55,55,30,90,35,23.56,35.8,202
LYB,LyondellBasell Industries N.V.,53.6,📊 C급 (관망),50,60,68,30,60,50,44.39,14.6,203
RMD,ResMed Inc.,52.2,📊 C급 (관망),50,60,35,65,60,50,244.81,19.2,204
FTNT,"Fortinet, Inc.",52.0,📊 C급 (관망),50,60,35,70,60,40,77.88,11.8,205
TSLA,"Tesla, Inc.",52.0,📊 C급 (관망),50,55,55,50,50,50,438.07,-8.8,206
TYL,"Tyler Technologies, Inc.",51.2,📊 C급 (관망),60,65,35,45,70,25,435.83,47.0,207
VLO,Valero Energy Corporation,50.5,📊 C급 (관망),50,65,35,40,80,40,165.31,11.9,208
