ticker,name,sector,industry,market
INTC,INTC,N/A,N/A,S&P500
INTU,INTU,N/A,N/A,S&P500
INVH,INVH,N/A,N/A,S&P500
IP,IP,N/A,N/A,S&P500
IPG,IPG,N/A,N/A,S&P500
IQV,IQV,N/A,N/A,S&P500
IR,IR,N/A,N/A,S&P500
IRM,IRM,N/A,N/A,S&P500
ISRG,ISRG,N/A,N/A,S&P500
IT,IT,N/A,N/A,S&P500
ITW,ITW,N/A,N/A,S&P500
IVZ,IVZ,N/A,N/A,S&P500
J,J,N/A,N/A,S&P500
JBHT,JBHT,N/A,N/A,S&P500
JBL,JBL,N/A,N/A,S&P500
JCI,JCI,N/A,N/A,S&P500
JKHY,JKHY,N/A,N/A,S&P500
JNJ,JNJ,N/A,N/A,S&P500
JNPR,JNPR,N/A,N/A,S&P500
JPM,JPM,N/A,N/A,S&P500
K,K,N/A,N/A,S&P500
KDP,KDP,N/A,N/A,S&P500
KEY,KEY,N/A,N/A,S&P500
KEYS,KEYS,N/A,N/A,S&P500
KHC,KHC,N/A,N/A,S&P500
KIM,KIM,N/A,N/A,S&P500
KKR,KKR,N/A,N/A,S&P500
KLAC,KLAC,N/A,N/A,S&P500
KMB,KMB,N/A,N/A,S&P500
KMI,KMI,N/A,N/A,S&P500
KMX,KMX,N/A,N/A,S&P500
KO,KO,N/A,N/A,S&P500
KR,KR,N/A,N/A,S&P500
KVUE,KVUE,N/A,N/A,S&P500
L,L,N/A,N/A,S&P500
LDOS,LDOS,N/A,N/A,S&P500
LEN,LEN,N/A,N/A,S&P500
LH,LH,N/A,N/A,S&P500
LHX,LHX,N/A,N/A,S&P500
LIN,LIN,N/A,N/A,S&P500
LKQ,LKQ,N/A,N/A,S&P500
LLY,LLY,N/A,N/A,S&P500
LMT,LMT,N/A,N/A,S&P500
LNT,LNT,N/A,N/A,S&P500
LOW,LOW,N/A,N/A,S&P500
LRCX,LRCX,N/A,N/A,S&P500
LULU,LULU,N/A,N/A,S&P500
LUV,LUV,N/A,N/A,S&P500
LVS,LVS,N/A,N/A,S&P500
LW,LW,N/A,N/A,S&P500
LYB,LYB,N/A,N/A,S&P500
LYV,LYV,N/A,N/A,S&P500
MA,MA,N/A,N/A,S&P500
MAA,MAA,N/A,N/A,S&P500
MAR,MAR,N/A,N/A,S&P500
MAS,MAS,N/A,N/A,S&P500
MCD,MCD,N/A,N/A,S&P500
MCHP,MCHP,N/A,N/A,S&P500
MCK,MCK,N/A,N/A,S&P500
MCO,MCO,N/A,N/A,S&P500
MDLZ,MDLZ,N/A,N/A,S&P500
MDT,MDT,N/A,N/A,S&P500
MET,MET,N/A,N/A,S&P500
META,META,N/A,N/A,S&P500
MGM,MGM,N/A,N/A,S&P500
MHK,MHK,N/A,N/A,S&P500
MKC,MKC,N/A,N/A,S&P500
MKTX,MKTX,N/A,N/A,S&P500
MLM,MLM,N/A,N/A,S&P500
MMC,MMC,N/A,N/A,S&P500
MMM,MMM,N/A,N/A,S&P500
MNST,MNST,N/A,N/A,S&P500
MO,MO,N/A,N/A,S&P500
MOH,MOH,N/A,N/A,S&P500
MOS,MOS,N/A,N/A,S&P500
MPC,MPC,N/A,N/A,S&P500
MPWR,MPWR,N/A,N/A,S&P500
MRK,MRK,N/A,N/A,S&P500
MRNA,MRNA,N/A,N/A,S&P500
MRO,MRO,N/A,N/A,S&P500
MS,MS,N/A,N/A,S&P500
MSCI,MSCI,N/A,N/A,S&P500
MSFT,MSFT,N/A,N/A,S&P500
MSI,MSI,N/A,N/A,S&P500
MTB,MTB,N/A,N/A,S&P500
MTCH,MTCH,N/A,N/A,S&P500
MTD,MTD,N/A,N/A,S&P500
MU,MU,N/A,N/A,S&P500
NCLH,NCLH,N/A,N/A,S&P500
NDAQ,NDAQ,N/A,N/A,S&P500
NDSN,NDSN,N/A,N/A,S&P500
NEE,NEE,N/A,N/A,S&P500
NEM,NEM,N/A,N/A,S&P500
NFLX,NFLX,N/A,N/A,S&P500
NI,NI,N/A,N/A,S&P500
NKE,NKE,N/A,N/A,S&P500
NOC,NOC,N/A,N/A,S&P500
NOW,NOW,N/A,N/A,S&P500
NRG,NRG,N/A,N/A,S&P500
NSC,NSC,N/A,N/A,S&P500
NTAP,NTAP,N/A,N/A,S&P500
NTRS,NTRS,N/A,N/A,S&P500
NUE,NUE,N/A,N/A,S&P500
NVDA,NVDA,N/A,N/A,S&P500
NVR,NVR,N/A,N/A,S&P500
NWS,NWS,N/A,N/A,S&P500
NWSA,NWSA,N/A,N/A,S&P500
NXPI,NXPI,N/A,N/A,S&P500
O,O,N/A,N/A,S&P500
ODFL,ODFL,N/A,N/A,S&P500
OKE,OKE,N/A,N/A,S&P500
OMC,OMC,N/A,N/A,S&P500
ON,ON,N/A,N/A,S&P500
ORCL,ORCL,N/A,N/A,S&P500
ORLY,ORLY,N/A,N/A,S&P500
OTIS,OTIS,N/A,N/A,S&P500
OXY,OXY,N/A,N/A,S&P500
PANW,PANW,N/A,N/A,S&P500
PARA,PARA,N/A,N/A,S&P500
PAYC,PAYC,N/A,N/A,S&P500
PAYX,PAYX,N/A,N/A,S&P500
PCAR,PCAR,N/A,N/A,S&P500
PCG,PCG,N/A,N/A,S&P500
PEG,PEG,N/A,N/A,S&P500
PEP,PEP,N/A,N/A,S&P500
PFE,PFE,N/A,N/A,S&P500
PFG,PFG,N/A,N/A,S&P500
PG,PG,N/A,N/A,S&P500
PGR,PGR,N/A,N/A,S&P500
PH,PH,N/A,N/A,S&P500
PHM,PHM,N/A,N/A,S&P500
PKG,PKG,N/A,N/A,S&P500
PLD,PLD,N/A,N/A,S&P500
PM,PM,N/A,N/A,S&P500
PNC,PNC,N/A,N/A,S&P500
PNR,PNR,N/A,N/A,S&P500
PNW,PNW,N/A,N/A,S&P500
PODD,PODD,N/A,N/A,S&P500
POOL,POOL,N/A,N/A,S&P500
PPG,PPG,N/A,N/A,S&P500
PPL,PPL,N/A,N/A,S&P500
PRU,PRU,N/A,N/A,S&P500
PSA,PSA,N/A,N/A,S&P500
PSX,PSX,N/A,N/A,S&P500
PTC,PTC,N/A,N/A,S&P500
PWR,PWR,N/A,N/A,S&P500
PYPL,PYPL,N/A,N/A,S&P500
QCOM,QCOM,N/A,N/A,S&P500
QRVO,QRVO,N/A,N/A,S&P500
RCL,RCL,N/A,N/A,S&P500
REG,REG,N/A,N/A,S&P500
REGN,REGN,N/A,N/A,S&P500
RF,RF,N/A,N/A,S&P500
RJF,RJF,N/A,N/A,S&P500
RL,RL,N/A,N/A,S&P500
RMD,RMD,N/A,N/A,S&P500
ROK,ROK,N/A,N/A,S&P500
ROL,ROL,N/A,N/A,S&P500
ROP,ROP,N/A,N/A,S&P500
ROST,ROST,N/A,N/A,S&P500
RSG,RSG,N/A,N/A,S&P500
RTX,RTX,N/A,N/A,S&P500
RVTY,RVTY,N/A,N/A,S&P500
SBAC,SBAC,N/A,N/A,S&P500
SBUX,SBUX,N/A,N/A,S&P500
SCHW,SCHW,N/A,N/A,S&P500
SHW,SHW,N/A,N/A,S&P500
SJM,SJM,N/A,N/A,S&P500
SLB,SLB,N/A,N/A,S&P500
SMCI,SMCI,N/A,N/A,S&P500
SNA,SNA,N/A,N/A,S&P500
SNPS,SNPS,N/A,N/A,S&P500
SO,SO,N/A,N/A,S&P500
SOLV,SOLV,N/A,N/A,S&P500
SPG,SPG,N/A,N/A,S&P500
SPGI,SPGI,N/A,N/A,S&P500
SRE,SRE,N/A,N/A,S&P500
STE,STE,N/A,N/A,S&P500
STLD,STLD,N/A,N/A,S&P500
STT,STT,N/A,N/A,S&P500
STX,STX,N/A,N/A,S&P500
STZ,STZ,N/A,N/A,S&P500
SWK,SWK,N/A,N/A,S&P500
SWKS,SWKS,N/A,N/A,S&P500
SYF,SYF,N/A,N/A,S&P500
SYK,SYK,N/A,N/A,S&P500
SYY,SYY,N/A,N/A,S&P500
T,T,N/A,N/A,S&P500
TAP,TAP,N/A,N/A,S&P500
TDG,TDG,N/A,N/A,S&P500
TDY,TDY,N/A,N/A,S&P500
TECH,TECH,N/A,N/A,S&P500
TEL,TEL,N/A,N/A,S&P500
TER,TER,N/A,N/A,S&P500
TFC,TFC,N/A,N/A,S&P500
TFX,TFX,N/A,N/A,S&P500
TGT,TGT,N/A,N/A,S&P500
TJX,TJX,N/A,N/A,S&P500
TMO,TMO,N/A,N/A,S&P500
TMUS,TMUS,N/A,N/A,S&P500
TPR,TPR,N/A,N/A,S&P500
TRGP,TRGP,N/A,N/A,S&P500
TRMB,TRMB,N/A,N/A,S&P500
TROW,TROW,N/A,N/A,S&P500
TRV,TRV,N/A,N/A,S&P500
TSCO,TSCO,N/A,N/A,S&P500
TSLA,TSLA,N/A,N/A,S&P500
TSN,TSN,N/A,N/A,S&P500
TT,TT,N/A,N/A,S&P500
TTWO,TTWO,N/A,N/A,S&P500
TXN,TXN,N/A,N/A,S&P500
TXT,TXT,N/A,N/A,S&P500
TYL,TYL,N/A,N/A,S&P500
UAL,UAL,N/A,N/A,S&P500
UBER,UBER,N/A,N/A,S&P500
UDR,UDR,N/A,N/A,S&P500
UHS,UHS,N/A,N/A,S&P500
ULTA,ULTA,N/A,N/A,S&P500
UNH,UNH,N/A,N/A,S&P500
UNP,UNP,N/A,N/A,S&P500
UPS,UPS,N/A,N/A,S&P500
URI,URI,N/A,N/A,S&P500
USB,USB,N/A,N/A,S&P500
V,V,N/A,N/A,S&P500
VICI,VICI,N/A,N/A,S&P500
VLO,VLO,N/A,N/A,S&P500
