ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
GDDY,102.53,0.67,5.67,134.23,10,0,0,Neutral,65,Institutional Support
GE,80.25,0.19,1.37,1051.17,10,0,0,Neutral,70,Strong Institutional Support
GEHC,89.07,0.27,3.42,454.08,10,0,0,Neutral,65,Institutional Support
GEN,88.05,9.31,3.82,472.38,10,0,0,Neutral,65,Institutional Support
GEV,78.88,0.07,2.64,270.88,10,0,0,Neutral,65,Institutional Support
GILD,91.55,0.1,1.75,1238.05,10,0,0,Neutral,70,Strong Institutional Support
GIS,86.06,0.3,7.25,531.33,10,0,0,Neutral,65,Institutional Support
GL,86.01,0.63,2.32,78.95,10,0,0,Neutral,70,Strong Institutional Support
GLW,75.89,8.22,1.98,786.39,10,0,0,Neutral,65,Institutional Support
GM,87.04,0.18,2.52,930.03,10,0,0,Neutral,70,Strong Institutional Support
GNRC,94.34,1.68,8.32,57.52,10,0,0,Neutral,65,Institutional Support
GOOG,60.72,6.68,0.0,10798.4,10,0,0,Neutral,65,Institutional Support
GOOGL,81.26,0.57,1.41,10798.4,10,0,0,Neutral,70,Strong Institutional Support
GPC,89.4,0.4,3.38,138.51,10,0,0,Neutral,65,Institutional Support
GPN,95.68,0.97,4.27,234.7,10,0,0,Neutral,65,Institutional Support
GRMN,57.39,14.97,1.8,163.47,10,0,0,Neutral,55,Institutional Support
GS,74.66,0.57,2.38,311.92,10,0,0,Neutral,65,Institutional Support
GWW,73.71,6.2,3.27,43.56,10,0,0,Neutral,60,Institutional Support
HAL,90.74,0.43,4.37,836.98,10,0,0,Neutral,65,Institutional Support
HAS,92.75,0.69,3.82,139.61,10,0,0,Neutral,65,Institutional Support
HBAN,86.13,0.84,6.71,1449.8,10,0,0,Neutral,65,Institutional Support
HCA,61.86,31.3,2.86,156.42,10,0,0,Neutral,65,Institutional Support
HD,74.06,0.07,1.03,993.92,10,0,0,Neutral,65,Institutional Support
HES,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
HIG,94.66,0.32,2.61,277.28,10,0,0,Neutral,70,Strong Institutional Support
HII,96.99,0.66,4.35,38.99,10,0,0,Neutral,65,Institutional Support
HLT,100.7,2.08,3.3,228.22,10,0,0,Neutral,65,Institutional Support
HOLX,99.48,0.83,2.17,220.67,10,0,0,Neutral,70,Strong Institutional Support
HON,80.82,0.11,1.47,603.04,10,0,0,Neutral,70,Strong Institutional Support
HPE,90.11,0.44,5.8,1327.86,10,0,0,Neutral,65,Institutional Support
HPQ,85.75,0.27,10.47,914.89,10,0,0,Neutral,55,Institutional Support
HRL,91.37,0.45,6.7,290.61,10,0,0,Neutral,65,Institutional Support
HSIC,110.7,0.89,5.69,98.18,10,0,0,Neutral,65,Institutional Support
HST,108.38,1.38,7.12,641.45,10,0,0,Neutral,65,Institutional Support
HSY,89.15,0.35,7.21,145.29,10,0,0,Neutral,65,Institutional Support
HUBB,96.9,0.38,5.59,52.89,10,0,0,Neutral,65,Institutional Support
HUM,97.63,0.2,4.5,120.04,10,0,0,Neutral,65,Institutional Support
HWM,95.37,1.14,3.35,397.95,10,0,0,Neutral,65,Institutional Support
IBM,64.26,0.12,2.35,932.61,10,0,0,Neutral,65,Institutional Support
ICE,95.06,0.92,1.39,566.11,10,0,0,Neutral,70,Strong Institutional Support
IDXX,95.36,0.68,3.42,78.99,10,0,0,Neutral,65,Institutional Support
IEX,105.98,0.22,3.95,74.64,10,0,0,Neutral,65,Institutional Support
IFF,97.5,1.97,4.22,255.53,10,0,0,Neutral,65,Institutional Support
ILMN,104.8,0.19,7.57,148.55,10,0,0,Neutral,65,Institutional Support
INCY,105.61,1.91,7.72,164.32,10,0,0,Neutral,65,Institutional Support
INTC,63.32,1.89,2.7,4762.13,10,0,0,Neutral,65,Institutional Support
INTU,90.53,2.36,1.95,272.1,10,0,0,Neutral,70,Strong Institutional Support
INVH,103.55,0.31,2.95,559.26,10,0,0,Neutral,70,Strong Institutional Support
IP,105.88,0.33,12.87,525.83,10,0,0,Neutral,55,Institutional Support
IPG,103.89,0.02,8.25,361.28,10,0,0,Neutral,65,Institutional Support
IQV,100.56,0.97,3.21,161.74,10,0,0,Neutral,65,Institutional Support
IR,105.04,0.26,5.7,393.77,10,0,0,Neutral,65,Institutional Support
IRM,87.78,0.78,5.02,292.99,10,0,0,Neutral,65,Institutional Support
ISRG,88.67,0.54,1.98,352.33,10,0,0,Neutral,70,Strong Institutional Support
IT,108.15,3.28,8.6,69.62,10,0,0,Neutral,65,Institutional Support
ITW,85.02,0.34,2.62,263.12,10,0,0,Neutral,70,Strong Institutional Support
IVZ,95.23,0.65,5.4,333.92,10,0,0,Neutral,65,Institutional Support
J,90.52,0.6,3.11,117.21,10,0,0,Neutral,65,Institutional Support
JBHT,77.23,20.32,4.92,75.7,10,0,0,Neutral,60,Institutional Support
JBL,98.58,1.41,4.46,105.04,10,0,0,Neutral,65,Institutional Support
JCI,97.42,0.23,4.27,608.69,10,0,0,Neutral,65,Institutional Support
JKHY,100.82,0.59,5.85,71.89,10,0,0,Neutral,65,Institutional Support
JNJ,75.12,0.05,1.0,2405.51,10,0,0,Neutral,65,Institutional Support
JNPR,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
